,,,,,
,,,,,
,,,,,
19,2018-06-04,知识圈,Pre-A轮,1000万,[[u'\u597d\u672a\u6765(\u5b66\u800c\u601d)']]
,,,,,
0,2018-06-04,来凯医药,A轮,1850万,"[[u'\u5b89\u9f99\u57fa\u91d1'], [u'OrbiMed\u5965\u535a\u8d44\u672c']]"
1,2018-06-04,布洛克科技,A+轮,2000万,"[[u'\u738b\u695a\u4e91'], [u'\u4e0a\u53e4\u8d44\u672c'], [u'BeeChat'], [u'\u54c8\u5e0c\u8d44\u672cHash Capital']]"
2,2018-06-04,megarobo镁伽机器人,A轮,数百万,"[[u'\u6109\u60a6\u8d44\u672c'], [u'\u660e\u52bf\u8d44\u672c'], [u'\u82f1\u8bfa\u5929\u4f7f\u57fa\u91d1'], [u'\u9010\u9e7f\u8d44\u672c'], [u'\u81fb\u4e91\u521b\u6295']]"
3,2018-06-03,三迭纪,A轮,1亿,"[[u'\u706b\u5c71\u77f3\u8d44\u672c'], [u'\u6668\u5174\u8d44\u672c']]"
4,2018-06-03,园钉,A轮,数千万,"[[u'\u91d1\u6c99\u6c5f\u521b\u6295'], [u'\u6606\u4ef2\u8d44\u672c'], [u'\u9669\u5cf0\u957f\u9752']]"
5,2018-06-03,欢乐口腔,B轮,4.5亿,"[[u'\u541b\u8054\u8d44\u672c'], [u'\u4e2d\u4fe1\u8bc1\u5238']]"
6,2018-06-03,趣链科技,B轮,15亿,[[u'\u65b0\u6e56\u4e2d\u5b9d']]
7,2018-06-02,泰斗微电子,C+轮,1亿,[[u'\u56fd\u6c11\u521b\u6295']]
8,2018-06-02,财链社,天使轮,数百万,[u'\u672a\u900f\u9732']
9,2018-06-01,润和软件,IPO上市后,4.6亿,[[u'\u8682\u8681\u91d1\u670d(\u963f\u91cc\u5df4\u5df4)']]
10,2018-06-01,华罗庚网校,天使轮,1000万,[[u'\u771f\u683c\u57fa\u91d1']]
11,2018-06-01,摩卡汽车,Pre-A轮,数百万,[[u'\u62db\u5546\u542f\u822a\u8d44\u672c']]
12,2018-06-01,中通快运,A轮,1亿,"[[u'\u7ea2\u6749\u8d44\u672c\u4e2d\u56fd'], [u'\u4e91\u950b\u57fa\u91d1'], [u'\u9f0e\u6656\u6295\u8d44']]"
13,2018-06-01,章鱼宝,天使轮,1000万,"[[u'\u683c\u6597\u8ff7'], [u'BWVC\u6cfd\u539a\u8d44\u672c']]"
14,2018-06-01,HUMAN+,A轮,3000万,[[u'\u4e2d\u4e00\u8d44\u672c ']]
15,2018-06-01,极信区块链,天使轮,1000万,[[u'\u96c4\u5cb8\u57fa\u91d1']]
16,2018-06-01,辰讯科技,Pre-A轮,未透露,[u'\u672a\u900f\u9732']
17,2018-06-01,潘帕斯,Pre-A轮,数千万,[u'\u672a\u900f\u9732']
18,2018-06-01,风险管家,A轮,数千万,"[[u'\u4e2d\u6c11\u6295'], [u'\u76d8\u53e4\u521b\u5bccVANGOO']]"
19,2018-06-01,哈罗单车,F轮-上市前,20亿,[[u'\u8682\u8681\u91d1\u670d(\u963f\u91cc\u5df4\u5df4)']]
,,,,,
0,2018-06-01,商有外卖管家,Pre-A轮,数千万,"[[u'\u534e\u6620\u8d44\u672c'], [u'\u5fae\u76df']]"
1,2018-06-01,富驰高科,C轮,2亿,[[u'\u6e90\u661f\u8d44\u672c']]
